requested_hot_wall_temperature_K,cea_wall_temperature_K,wall_enthalpy_J_per_kg,wall_conductivity_W_per_m_K,wall_cp_J_per_kg_K,reference_enthalpy_J_per_kg,reference_temperature_K,reference_conductivity_W_per_m_K,reference_cp_J_per_kg_K,reference_viscosity_Pa_s,reference_Prandtl,solid_water_mole_fraction,liquid_water_mole_fraction
256.4500000000174,256.45001220703125,-15435635.384392902,0.1570440096815393,10992.445977639709,-11144298.077607807,875.1667970494102,0.1546153040559869,2882.323543992612,3.318902684163661e-05,0.6187066283762732,0.6491972084998933,0.0
256.5000000000174,256.5,-15435249.297242116,0.1570273274318538,10981.393282633859,-11144105.034032412,875.2340534444863,0.15462680514240265,2882.3733902132144,3.319150025224249e-05,0.618717414617808,0.6491345041160071,0.0
256.5500000000174,256.54998779296875,-15434862.01090362,0.15701045946855774,10970.315468321569,-11143911.390863165,875.3009565578019,0.15463824589114605,2882.4229762016007,3.319396061244499e-05,0.6187281431515552,0.6490715082592406,0.0
256.6000000000174,256.6000061035156,-15434473.282395141,0.1569933946983424,10959.20579203834,-11143717.026608925,875.3685627452593,0.1546498069446577,2882.473084900359,3.319644676924636e-05,0.618738983365964,0.6490081808574174,0.0
256.6500000000174,256.6499938964844,-15434083.580596158,0.15697615331816595,10948.0778543993,-11143522.175709434,875.4361677574815,0.15466136787334536,2882.523194355565,3.3198932823588735e-05,0.6187498223228851,0.6489445978341585,0.0
256.70000000001744,256.70001220703125,-15433692.424179813,0.15695871364783504,10936.918112815396,-11143326.597501261,875.504123694641,0.15467298888938313,2882.573565559797,3.320143172287009e-05,0.618760716465686,0.6488806801946841,0.0
256.75000000001745,256.75,-15433300.284934029,0.15694109633876904,10925.74023026608,-11143130.52787837,875.5720784443087,0.15468460977927756,2882.6239375282726,3.320393051862844e-05,0.6187716093385158,0.6488165045694235,0.0
256.80000000001746,256.79998779296875,-15432906.919027092,0.15692329017723072,10914.537451350274,-11142933.8449249,875.6403840945146,0.15469629075391858,2882.6745712615816,3.320644215719342e-05,0.6187825573715983,0.648752030679229,0.0
256.8500000000175,256.8500061035156,-15432512.079603873,0.15690528348672855,10903.302960497946,-11142736.425213292,875.7086885447955,0.1547079716010686,2882.7252057668693,3.320895369116181e-05,0.6187935041221598,0.6486872175096615,0.0
256.9000000000175,256.8999938964844,-15432116.242863812,0.15688709760607805,10892.050513811755,-11142538.506843261,875.7773438709474,0.15471971253032782,2882.7761020528214,3.321147806578845e-05,0.6188045060072059,0.6486221427634812,0.0
256.9500000000175,256.95001220703125,-15431718.919851538,0.15686870969431577,10880.766419862273,-11142339.845337123,875.8463500541756,0.15473151353968057,2882.827260131274,3.3214015279445146e-05,0.6188155630071193,0.6485567255903986,0.0
257.0000000000175,257.0,-15431320.589741243,0.1568501415524408,10869.464496555982,-11142140.680281976,875.915355012899,0.15474331441891245,2882.878418997656,3.321655238635658e-05,0.6188266186990043,0.6484910444163797,0.0
257.0500000000175,257.04998779296875,-15430921.004808104,0.15683138138161928,10858.137915734478,-11141940.887815407,875.9847108036321,0.1547551753755475,2882.9298396724225,3.3219102330122425e-05,0.6188377294797326,0.64842505801501,0.0
257.10000000001753,257.1000061035156,-15430519.914234249,0.15681241691251088,10846.779789654998,-11141740.34252848,876.0540653574521,0.15476703620072946,2882.981261143131,3.322165216606111e-05,0.6188488389397604,0.6483587244073752,0.0
257.15000000001754,257.1499938964844,-15430117.801706152,0.15679327064516108,10835.404028476492,-11141539.28626443,876.1241227624366,0.15477901730687588,2883.0332054671017,3.3224227779181136e-05,0.6188600598456346,0.6482921231166654,0.0
257.20000000001755,257.20001220703125,-15429714.170463767,0.15677391855846654,10823.996793395261,-11141337.470643237,876.193826867422,0.1547909380732955,2883.0848895701797,3.322679034032495e-05,0.6188712230282291,0.6482251713935557,0.0
